author	title	booktitle	month	year	address	publisher	pages	url	note
	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (AMTA 2018)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-22	Entire Volume
	Front Matter	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-2200	Front Matter
John E. Ortega; Krishnan Pillaipakkamnatt	Using Morphemes from Agglutinative Languages like Quechua and Finnish to Aid in Low-Resource Translation	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	1--11	http://www.aclweb.org/anthology/W/W18/W18-2201	
Meghan Dowling; Teresa Lynn; Alberto Poncelas; Andy Way	SMT versus NMT: Preliminary comparisons for Irish	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	12--20	http://www.aclweb.org/anthology/W/W18/W18-2202	
Wen Lai; Xiaobing Zhao; Wei Bao	Tibetan-Chinese Neural Machine Translation based on Syllable Segmentation	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	April	2019	Boston, MA	Association for Machine Translation in the Americas	21--29	http://www.aclweb.org/anthology/W/W18/W18-2203	
Nathaniel Oco; Rachel Edita Roxas	A Survey of Machine Translation Work in the Philippines: From 1998 to 2018	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	May	2020	Boston, MA	Association for Machine Translation in the Americas	30--36	http://www.aclweb.org/anthology/W/W18/W18-2204	
Ivan Skorokhodov; Anton Rykachevskiy; Dmitry Emelyanenko; Sergey Slotin; Anton Ponkratov	Semi-Supervised Neural Machine Translation with Language Models	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	June	2021	Boston, MA	Association for Machine Translation in the Americas	37--44	http://www.aclweb.org/anthology/W/W18/W18-2205	
Ilya Gusev; Artem Oboturov	System Description of Supervised and Unsupervised Neural Machine Translation Approaches from “NL Processing” Team at DeepHack.Babel Task	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	July	2022	Boston, MA	Association for Machine Translation in the Americas	45--52	http://www.aclweb.org/anthology/W/W18/W18-2206	
Sushain Cherivirala; Shardul Chiplunkar; Jonathan North Washington; Kevin Brubeck Unhammer	Apertium’s Web Toolchain for Low-Resource Language Technology	Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	August	2023	Boston, MA	Association for Machine Translation in the Americas	53--62	http://www.aclweb.org/anthology/W/W18/W18-2207	
